Location	Events
Kogan Plaza then Constitution Gardens	1
Library of Congress	1
USC Room 311	1
Bell 107	1
&Pizza Hotel Hive	1
SMPA 309	1
Eckles Auditorium	1
USC 401	1
Milken Native Garden	1
Madison Hall Lobby, Lafayette Hall Lobby, & Guthridge Hall Lobby	1
Duques 255	1
Munson Lobby	1
Elliot Rm 113	1
USC Lower Level 01A	1
Washington Hilton Hotel	1
Rome Hall 204	1
USC Great Hall	1
L402	1
Dakota Front Lobby	1
Post Hall	1
Monroe 253	1
Thurston Hall 7th Floor Lounge	1
District House	1
USC Room 403	1
GW Textile Museum	1
Hotel Hive Rooftop	1
University Student Center Room 311	1
Duques 151	1
West Hall 2nd Floor Lounge	1
Thurston Hall & Dining Hall	1
Elliott City View Room (7th Floor)	1
I house Lobby	1
GW Foggy Bottom Metro	1
Sachi Nightclub	1
university student center	1
Elliott school city view room	1
Thomas Jefferson Memorial	1
Elliott City View Room 7th Floor	1
Elliott School of International Affairs	1
USC 1st floor	1
Somers Hall 2nd Floor Kitchen	1
University Student Center - Third Floor Continental Ballroom	1
West Hall Entrance	1
University Student Center (USC) 311	1
University Student Center, Room 311	1
The GW Museum and The Textile Museum	1
MSSC MPR (5th floor of USC)	1
Continental Ballroom, University Student Center	1
District House 1st floor lounge	1
LL101	1
Potomac Hall (Lower Level)	1
USC 308	1
School of Media & Public Affairs	1
Amphitheater	1
FSK Lobby	1
Dharmic Prayer and Meditation Space	1
University Student Center, Room 307	1
Amsterdam Hall - Walk to the T.B.	1
Dominican House of Studies	1
District House -- South Lobby	1
Iron Age Korean BBQ	1
Rosebar	1
Puttery D.C.	1
The Commodore - Community Room, 2055 15th St N Arlington, VA 22201 United States	1
The National Mall	1
Washington Monument	1
Epic Yoga DC	1
Duques Hall - Room 251	1
University Student Center Grand Ballroom	1
1st Floor of the GW Law School building	1
MSSC Gallery Lounge	1
West 1st Floor Study Room	1
SEH 7040	1
Shenkman Hall First Floor Lounge	1
Milken Room 101	1
The Dakota	1
Elliot School of International Affairs	1
Elliott School	1
Hall of Government	1
District Hall Study lounge	1
JBKO Hall	1
District House Room 118	1
Lafayette Basement	1
Milken Institute Auditorium	1
University Student Center (USC) Room 308	1
Duques Hall Room 155	1
Fsk hall	1
DUQUES 552	1
Duques Hall Room 353	1
University Student Center (USC) 310	1
OAS Townhouse	1
Trump–Kennedy Center Washington, DC	1
Elliott School B12	1
FNGR 209	1
Smith Art Pavilion	1
University Student Center 1st floor	1
GWU Great Hall	1
District House (DH B114)	1
Charles E. Smith Center - Tin Tabernacle	1
1957 E Street	1
Duques Hall - Room 155	1
UNIVERSITY CENTER ROOM LOWER LEVEL ROOM LL 01C	1
*	1
USC Grand Ball room	1
ADPalace	1
GW MVC Vex Stop	1
Foggy Bottom Metro	1
Devine Theater -- Davis Arts Center -- Georgetown University	1
Kogan Plaza	1
Thurston Hall	1
Rosebar Lounge	1
Jack Morton Auditorium	1
Anniversary Park	1
University Student Center 405	1
Cloyd Heck Marvin Center	1
MVC Vex Stop (12pm Departure) to Eastern Market (225 7th Street SE)	1
MVC Lacrosse Field	1
Columbian Plaza - 1st Floor Across Panera in the University Student Center	1
The Elliott School of International Affairs - State Room	1
Corcoran Hall, 101A	1
International House Basement	1
University Student Center- Room 307	1
Strong Kitchen (1st floor)	1
USC First Floor	1
University Student Center, Room 302	1
Potomac Basement Lounge	1
Thurston Dining Hall	1
8th Floor Lounge	1
Bell 309	1
Ric and Dawn Duquès Hall Rm 150	1
Tacombi	1
GW Law	1
USC Columbian Square	1
Multipurpose Room	1
MSSC - USC 5th Floor	1
MSSC Gallery Space	1
1959 E ST- ROOFTOP LOUNGE	1
University Student Center, Room 309	1
Guthridge Basement	1
Monroe 250	1
University Student Center Table	1
JW Marriott Hotel	1
Hall of Government Room 101	1
University Student Center rm. 308	1
Johnny Pistolas	1
Betts Theatre, Student Center	1
Elliott School of International Affairs Room 308	1
District B114	1
Strong Hall Rooftop Lounge	1
Monroe Hall Rm 111	1
USC - Columbian Square	1
Corcoran Hall 204	1
University Student Center 402	1
Munson Lobby	1
GW USC, LL01
